,comment_text,initial_comment_score,modified_comment,modified_comment_score
0,I think you need to grow some balls,0.72028047,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youI think you need to grow some balls,0.63782936
1,Youre an idiot,0.9209984,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youYoure an idiot,0.78711975
2,Dude like era sucks,0.7252971,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youDude like era sucks,0.52139956
3,And apparently youre a pile of horseshite sic,0.7998551,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youAnd apparently youre a pile of horseshite sic,0.5921536
4,Vandalism  Enough of the wizard and gay porn vandalism,0.7701451,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youVandalism  Enough of the wizard and gay porn vandalism,0.5532103
5,WTF F YOU BASTARDS,0.8988238,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youWTF F YOU BASTARDS,0.76197964
6, You lying bastard   Brought to you by Joe Wilson,0.8540474,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you You lying bastard   Brought to you by Joe Wilson,0.6407703
7,STFU SHUT THE FCK UP,0.78711975,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youSTFU SHUT THE FCK UP,0.7675452
8, shut up and go away,0.7105462,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you shut up and go away,0.584095
9,i like donkey nipples,0.6289369,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youi like donkey nipples,0.61223894
10, JAJAJAJAJA FUNNY DAY   me vale verga puto,0.5885171,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you JAJAJAJAJA FUNNY DAY   me vale verga puto,0.6289369
11,Gee thanks for making look like an idiot Up yours ,0.7701451,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youGee thanks for making look like an idiot Up yours ,0.5885171
12,btw  witch  rainbowoflight  who is quite retarded  buhahahahahhaha,0.62136006,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youbtw  witch  rainbowoflight  who is quite retarded  buhahahahahhaha,0.49139655
13,malik shabazz can suck a rhino cock,0.9061063,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youmalik shabazz can suck a rhino cock,0.8778702
14,IM SO GAY I WATCH GFAY PEOPLE LICK THEMSLVES,0.8364697,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youIM SO GAY I WATCH GFAY PEOPLE LICK THEMSLVES,0.72028047
15, Semiprotected edit request on 20 September 2015           penis,0.4475325,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you Semiprotected edit request on 20 September 2015           penis,0.37751234
16,Lakshmi  the prostitute  ,0.5885171,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youLakshmi  the prostitute  ,0.45757914
17,Im not surprised its a complete load of arse ,0.8252207,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youIm not surprised its a complete load of arse ,0.6744087
18,This Sucks dont believe shit that you read on wikipedia,0.95048624,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youThis Sucks dont believe shit that you read on wikipedia,0.78207105
19,It was taken in January 2013 lol Sohr are idiots,0.8252207,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youIt was taken in January 2013 lol Sohr are idiots,0.68408644
20,F YOU EVERYONE,0.6027529,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youF YOU EVERYONE,0.028031485
21,Oxfordism iisi idiocy,0.6342749,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youOxfordism iisi idiocy,0.56269526
22,I want to have sex with you,0.6426206,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youI want to have sex with you,0.54325575
23, witch   Would you stop attacking that BLP with tabloid trivia,0.32397532,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you witch   Would you stop attacking that BLP with tabloid trivia,0.25915736
24,  you deleted my yung joc likes old cock thing why,0.74954444,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank you  you deleted my yung joc likes old cock thing why,0.5566829
25,You lucky bastard,0.51980776,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youYou lucky bastard,0.4274071
26,I only hate nationalistic dirt Thx,0.48021027,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youI only hate nationalistic dirt Thx,0.37751234
27,Get a life you wanker,0.85333383,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youGet a life you wanker,0.687436
28,Yuko Sugamoto ja菅本裕子 is sexfired,0.40891263,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youYuko Sugamoto ja菅本裕子 is sexfired,0.4014846
29,I like to drink puppies blood while I touch myself,0.6491204,you made my day bright kind person Im encouraged after reading this amazing stuff im so happy and glad that you are amazing thank youI like to drink puppies blood while I touch myself,0.54823303
